,title,phone number,website,Email,Address,link to yellow pages,reviews,rating
0,Bay Area Foot Care﻿Add to Favorites,(415) 879-9593,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1594149133414.31f4bb60&ADID=12206749&DEST=http%3A%2F%2Fwww.localpodiatry.com%2Fp%2Fsuperpages%2Fbay-area-foot-care-san-francisco-california.html&C=Physicians%20%26%20Surgeons%2C%20Podiatrists&T=San%20Francisco&S=CA&PH=(415)%20879-9593&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=31f4bb60-ed9f-4c44-9743-678eae6c5aef&REF=&IP=106.220.153.242&UserAgent=python-requests%2F2.23.0,,"2299 Post St, San Francisco, CA 94115",http://www.yellowpages.com/san-francisco-ca/mip/bay-area-foot-care-450847187?lid=1002041302965,(4 Reviews),five
1,San Francisco Center for Facial Plastic Reconstructive & Laser Surgery﻿Add to Favorites,(415) 550-1077,http://www.SanFranciscoFacialPlasticSurgery.com,mailto:Dr.Ransom@SanFranciscoFacialPlasticSurgery.com,"450 Sutter St Rm 1212, San Francisco, CA 94108",http://www.yellowpages.com/san-francisco-ca/mip/san-francisco-center-for-facial-plastic-reconstructive-laser-surgery-451343941?lid=1000353902703,No reviews available,zero
2,Carlat Paul B. M.D. Inc.﻿Add to Favorites,(415) 563-1155,http://www.sutterhealth.org/dr-paul-b-carlat.html,,"3329 Sacramento St, San Francisco, CA 94118",http://www.yellowpages.com/san-francisco-ca/mip/carlat-paul-b-m-d-inc-12982364?lid=1001568367431,No reviews available,zero
3,West Coast Retina﻿Add to Favorites,(415) 972-4600,http://westcoastretina.com/,,"1445 Bush St, San Francisco, CA 94109",http://www.yellowpages.com/san-francisco-ca/mip/west-coast-retina-497058368?lid=1001917675006,No reviews available,zero
4,Ulrich Berg MD﻿Add to Favorites,(415) 582-4640,,,"3022 Fillmore St, San Francisco, CA 94123",http://www.yellowpages.com/san-francisco-ca/mip/ulrich-berg-md-461715588?lid=1001564768310,No reviews available,zero
5,Gorodetsky Galina MD﻿Add to Favorites,(415) 563-8170,,,"San Francisco, CA 94115",http://www.yellowpages.com/san-francisco-ca/mip/gorodetsky-galina-md-461717554?lid=1000936624634,No reviews available,zero
6,Chang Carolyn C MD FACS﻿Add to Favorites,(415) 854-0520,http://www.drcarolynchang.com/,,"2100 Webster St, San Francisco, CA 94115",http://www.yellowpages.com/san-francisco-ca/mip/chang-carolyn-c-md-facs-21985311?lid=1001637348695,(1 Review),five
7,"Tam, Schuman MD﻿Add to Favorites",(415) 751-6800,http://www.aasthma.com,,"6850 Geary Blvd, San Francisco, CA 94121",http://www.yellowpages.com/san-francisco-ca/mip/tam-schuman-md-4337542?lid=1001822935130,No reviews available,zero
8,"Mark Lipian, M.D., Ph.D. - Clinical & Forensic Psychiatry﻿Add to Favorites",(415) 213-4224,,,"50 California St Ste 1500, San Francisco, CA 94111",http://www.yellowpages.com/san-francisco-ca/mip/mark-lipian-m-d-ph-d-clinical-forensic-psychiatry-456847894?lid=197762552,No reviews available,zero
9,Grace Medical Clinic﻿Add to Favorites,(415) 931-0808,,,"1630 Geary Blvd, San Francisco, CA 94115",http://www.yellowpages.com/san-francisco-ca/mip/grace-medical-clinic-7143875?lid=1001637354566,No reviews available,zero
