,title,phone number,website,zip code,Address,link to yelp pages,reviews,rating
0,Sidewalk Wellness,(415) 829-7828,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.sidewalkwellness.com&website_link_type=website&src_bizid=PhuHhWE-PX6W0jPucd00Xw&cachebuster=1594236723&s=b812f95cfedf029690f99c2d1320ecfa4a0a0b86d1796716dafc47892c3c9b86,[94110],"3186 21st StSan Francisco, CA 94110b/t Capp St & Mission StMission",https://www.yelp.com//biz/sidewalk-wellness-san-francisco?osq=Cbd+Stores,12 reviews,4.5 star rating
1,Urbana,(415) 702-6767,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.urbananow.com&website_link_type=website&src_bizid=5wBz8-EOEn01oTYx9w69nw&cachebuster=1594236728&s=5d794bcc2afc5e0967717000c877fa4fa11d2eaed9c0d46261b5a31e3e27ba68,[94118],"4811 Geary BlvdSan Francisco, CA 94118b/t 12th Ave & Funston AveInner RichmondServing San Francisco Area",https://www.yelp.com//biz/urbana-san-francisco?osq=Cbd+Stores,226 reviews,not available
2,SeaBeDee,(866) 304-5974,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.seabedee.org&website_link_type=website&src_bizid=LvH5Le0nlPEscsiCuzEqng&cachebuster=1594236733&s=0f4d75afb0f7a622290c8fca3e5b38af637a88b136160b832524c04811ede495,[94115],"2053 Fillmore StSan Francisco, CA 94115b/t California St & Pine StLower Pacific Heights",https://www.yelp.com//biz/seabedee-san-francisco-3?osq=Cbd+Stores,1 review,not available
3,The Green Cross,(415) 648-4420,https://www.yelp.com//biz_redir?url=http%3A%2F%2FTheGreenCross.org&website_link_type=website&src_bizid=xCIV-VO-knosdkMlqW7Vgw&cachebuster=1594236737&s=87280d9468eb73210b9ca384946682e162495cacfd7fb8f9ccda8b0cbffdee3b,[94112],"4218 Mission StSan Francisco, CA 94112b/t Maynard St & Castle Manor AveMission Terrace, Outer Mission",https://www.yelp.com//biz/the-green-cross-san-francisco?osq=Cbd+Stores,555 reviews,4.5 star rating
4,The Apothecarium - Castro,(415) 500-2620,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fapothecarium.com%2Fsan-francisco&website_link_type=website&src_bizid=9nN-N3mI_bl6xefu0dmAZg&cachebuster=1594236743&s=51bab6a872b60987d5464c02180158b7edd5b56e2051c44512393a3cff41dffc,[94114],"2029 Market StSan Francisco, CA 94114at Reservoir StCastro",https://www.yelp.com//biz/the-apothecarium-castro-san-francisco-2?osq=Cbd+Stores,311 reviews,not available
5,Medithrive Cannabis Dispensary & Delivery,(415) 562-6334,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fwww.medithrive.com&website_link_type=website&src_bizid=C8qsyMB-PTbYhPXVt4gkIA&cachebuster=1594236749&s=6460b0274a0b46ed5d479a29949764c3d0248f249fc4c348b8f399c0fb9ae03d,[94103],"1933 Mission StSan Francisco, CA 94103b/t 15th St & 16th StMissionServing San Francisco Area",https://www.yelp.com//biz/medithrive-cannabis-dispensary-and-delivery-san-francisco?osq=Cbd+Stores,613 reviews,4.5 star rating
6,Farm Starz,(415) 318-0343,https://www.yelp.com//biz_redir?url=http%3A%2F%2FWww.farmstarz.com&website_link_type=website&src_bizid=dutBvmm--yaffwliPA4p-g&cachebuster=1594236754&s=fd23df323e3916c84ca15bb2be01ecdd0d0a9fb9302e37f440120f520f8011ff,[94103],"1455 Market StSan Francisco, CA 94103b/t 10th St & Fell StSoMaServing San Francisco Area",https://www.yelp.com//biz/farm-starz-san-francisco-6?osq=Cbd+Stores,11 reviews,4.5 star rating
7,The Apothecarium - Marina,(415) 408-6986,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fapothecarium.com%2Fmarina&website_link_type=website&src_bizid=i0zhvsmo2N8O3tH-r6xzBQ&cachebuster=1594236758&s=d2b06e846db21f92fe5b5f7fb2a7b4d94be7d023cd3a6e595c0797586221a6e7,[94123],"2414 Lombard StSan Francisco, CA 94123b/t Divisadero St & Scott StMarina/Cow Hollow",https://www.yelp.com//biz/the-apothecarium-marina-san-francisco?osq=Cbd+Stores,86 reviews,not available
8,Berner's on Haight,(415) 214-9905,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fbernersonhaight.com&website_link_type=website&src_bizid=lbDTchkwdnGDNroT821f5g&cachebuster=1594236763&s=972ef520450fc02c17d55e4f92467f176f2f97708a9554a5b47398011b2687dd,[94117],"1685 Haight StSan Francisco, CA 94117b/t Cole St & Belvedere StThe Haight",https://www.yelp.com//biz/berners-on-haight-san-francisco?osq=Cbd+Stores,17 reviews,not available
9,Mission Cannabis Club,(415) 970-9333,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.missioncannabisclub.com&website_link_type=website&src_bizid=5Q97oP_RXAqy8ma2PZMY4w&cachebuster=1594236768&s=1105b4a8eb576ac35727306abeda4532ebbb6354cd864100d83107fc6bc4dff2,[94110],"2441 Mission StSan Francisco, CA 94110b/t 21st St & 20th StMissionServing San Francisco Area",https://www.yelp.com//biz/mission-cannabis-club-san-francisco-2?osq=Cbd+Stores,102 reviews,not available
10,not available,not available,not available,not available,not available,https://www.yelp.com//adredir?ad_business_id=YISILql5HccHgqUr3FgYzg&campaign_id=OFt870P_bi6jNtIioortFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffairhempfx-fairfax&request_id=d9eeccb89aec2a78&signature=86f54c9ab9bb2ed99bbdefef36a2aed8531f182bbf5e290291589b73dac3f7a4&slot=0,not available,not available
11,Urbana,(415) 814-3273,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.urbananow.com&website_link_type=website&src_bizid=1NCievT3VcL5t6jSEyOQQw&cachebuster=1594236773&s=4824083c547f7c0f986dcda9d09bcfd666ce37f8a6841f36f40af84e8c0a7b31,[94110],"33 29th StSan Francisco, CA 94110b/t Tiffany Ave & Mission StBernal Heights, Mission",https://www.yelp.com//biz/urbana-san-francisco-3?osq=Cbd+Stores,82 reviews,not available
12,Mission Organic,(415) 585-6337,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fmissionorganiccenter.com&website_link_type=website&src_bizid=VSiJUfFO73_i4_UX_CNqAQ&cachebuster=1594236777&s=986f5fe58b5aced29afe28678ab8b6ca478f7d11510f32fa645ca500952455b1,[94112],"5258 Mission StSan Francisco, CA 94112b/t Allison St & Pope StCrocker-Amazon, Outer MissionServing San Francisco Area",https://www.yelp.com//biz/mission-organic-san-francisco-3?osq=Cbd+Stores,205 reviews,not available
13,Bloom Room,(415) 543-7666,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.bloomroomsf.com&website_link_type=website&src_bizid=xunRv5PN9vDcaic1IK7A_Q&cachebuster=1594236783&s=3089414e85a3f6e2f69700da5ea1a0fe977cf1141c21155768026b1b4dfb0c99,[94103],"471 Jessie StSan Francisco, CA 94103b/t Mint St & 6th StSoMa, Union SquareServing San Francisco Area",https://www.yelp.com//biz/bloom-room-san-francisco-2?osq=Cbd+Stores,201 reviews,4.5 star rating
14,Smoke Time,Get Directions,not available,[94110],"2733 Mission StSan Francisco, CA 94110b/t 24th St & 23rd StMission",https://www.yelp.com//biz/smoke-time-san-francisco?osq=Cbd+Stores,12 reviews,4.5 star rating
15,SFFOGG,(415) 896-4271,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.sffogg.com&website_link_type=website&src_bizid=-ibdYzOfYnHDV5Yy7VYd5A&cachebuster=1594236794&s=b3ac08325c5eaa976bf798e223bb1aeddce695365c24e079802a8d1e68d1ec24,[94103],"211 12th StSan Francisco, CA 94103b/t Kissling St & Howard StSoMaServing San Francisco Area",https://www.yelp.com//biz/sffogg-san-francisco-3?osq=Cbd+Stores,60 reviews,not available
16,Caliva,(888) 688-0303,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fcaliva.com&website_link_type=website&src_bizid=lBpHzJLBI10oEOte7eFOaw&cachebuster=1594236800&s=8da2c9e68605eec1e05bbf9afcb6153bbe98cd1fc7c76b54294c2e985a2c1dab,[95112],"1695 S 7th StSan Jose, CA 95112FairgroundsServing San Jose Area",https://www.yelp.com//biz/caliva-san-jose?osq=Cbd+Stores,641 reviews,4.5 star rating
17,Barbary Coast  Dispensary,(415) 243-4400,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.barbarycoastsf.com&website_link_type=website&src_bizid=dMcSHwulNkMXnDkda5yVtw&cachebuster=1594236805&s=a21850371303a82de673bfb2428e2a41dcd0e81d8a92037ac9b98a743920dca9,[94103],"952 Mission StSan Francisco, CA 94103b/t 6th St & Mary StSoMaServing San Francisco Area",https://www.yelp.com//biz/barbary-coast-dispensary-san-francisco-5?osq=Cbd+Stores,425 reviews,4.5 star rating
18,Grass Roots,(415) 346-4338,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.grassrootssf.com&website_link_type=website&src_bizid=wP9zn3HkkssRWf7wG4JEag&cachebuster=1594236810&s=2ed29bf14ab890b698d461b6533fac770c989d4f18d87ac91a21eb86633d5dfb,[94109],"1077 Post StSan Francisco, CA 94109b/t Larkin St & Polk StLower Nob HillServing San Francisco Area",https://www.yelp.com//biz/grass-roots-san-francisco-5?osq=Cbd+Stores,282 reviews,not available
19,Posh Green Cannabis Boutique,(415) 499-2328,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fposhgreencollective.com&website_link_type=website&src_bizid=3b2nYIRvmv16u-TJKiI4cA&cachebuster=1594236816&s=84f29c8382781a276e4f4d25fc666727de76b9adbdeec9ef92b5d07ddd99fb03,[110],"828 Innes AveSte 110San Francisco, CA 94124b/t Earl St & Fitch StBayview-Hunters Point",https://www.yelp.com//biz/posh-green-cannabis-boutique-san-francisco?osq=Cbd+Stores,4 reviews,not available
20,All Things Hemp,(510) 986-0366,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.allthingshemp510.com&website_link_type=website&src_bizid=pj9_fWnHFzOLSNb_uyfx8g&cachebuster=1594236819&s=acf9ccdbbd4bd71a1b68cbd37d03172caec5f80a44ea1f68765b1b489940d994,[94610],"3738 Grand AveOakland, CA 94610b/t Bonham Way & Sunnyslope AveGrand Lake, Lower Hills",https://www.yelp.com//biz/all-things-hemp-oakland-2?osq=Cbd+Stores,19 reviews,not available
21,not available,not available,not available,not available,not available,https://www.yelp.com//adredir?ad_business_id=YISILql5HccHgqUr3FgYzg&campaign_id=OFt870P_bi6jNtIioortFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffairhempfx-fairfax&request_id=e39218da3029432f&signature=438abf89384e4eb0a9dc90b30a67941572912b31578862030622627b8a706b8d&slot=0,not available,not available
22,Greenthumb's - San Francisco,(415) 814-2890,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fdrgreenthumbsf.com&website_link_type=website&src_bizid=EeXdYGpcWjoYm08Vq71CiQ&cachebuster=1594236825&s=12b7b15393c359b219f308d8a485d08d0a451b35c83bf6964b46ba2a037df7d4,[94110],"3139 Mission StSan Francisco, CA 94110b/t Capp St & Precita AveBernal Heights, MissionServing San Francisco Area",https://www.yelp.com//biz/greenthumbs-san-francisco-san-francisco?osq=Cbd+Stores,108 reviews,not available
23,BASA Collective,(415) 409-1002,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fbasasf.com&website_link_type=website&src_bizid=u1c-HCsRqG_kkgImoDj9_Q&cachebuster=1594236830&s=3bb65019a56b3144927cb1523a1a2f19b3439eb598aec5cd412fdf10a8593a05,[94117],"1326 Grove StSan Francisco, CA 94117b/t Divisadero St & Broderick StNoPaServing San Francisco Area",https://www.yelp.com//biz/basa-collective-san-francisco?osq=Cbd+Stores,142 reviews,not available
24,Koheba Smoke Shop,Get Directions,not available,[94114],"2310 Market StSan Francisco, CA 94114b/t Noe St & Castro StDuboce Triangle",https://www.yelp.com//biz/koheba-smoke-shop-san-francisco?osq=Cbd+Stores,10 reviews,not available
25,Bloomery,(415) 200-0611,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fwww.shopbloomery.com&website_link_type=website&src_bizid=TNMBS19719frlH_SDiMQ5g&cachebuster=1594236840&s=2ae62d0fac3a9c954eb0156b8179859874d7638c04ca4d2be1eab085befc99f5,not available,"San Francisco, CA 94105SoMa",https://www.yelp.com//biz/bloomery-san-francisco-4?osq=Cbd+Stores,5 reviews,not available
26,Cole Street Smoke Shop,(415) 552-2361,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.sanfranciscosmokeshop.com%2F&website_link_type=website&src_bizid=n0D13yePrxuq3ZIoByBAKA&cachebuster=1594236844&s=64f9aa0ea8ce89b915c8c3368957f00950f7a8f82f360a07218e600c248c0818,[94117],"610 A Cole StSan Francisco, CA 94117The Haight",https://www.yelp.com//biz/cole-street-smoke-shop-san-francisco?osq=Cbd+Stores,39 reviews,4.5 star rating
27,7 Stars Holistic Healing Center,(510) 527-7827,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.7starshhc.com%2F&website_link_type=website&src_bizid=kxP0RzI4wHpRrW90UsWtkw&cachebuster=1594236850&s=0afefe5f7dfe58a82a9aba2032199b0813f6f2e286a4977a8ea4d5144b316ead,[94804],"3223 Pierce StRichmond, CA 94804",https://www.yelp.com//biz/7-stars-holistic-healing-center-richmond?osq=Cbd+Stores,107 reviews,not available
28,SAVA,(415) 993-9973,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fwww.getsava.com&website_link_type=website&src_bizid=sK--IAaa_x0Tl9D7ZUCRCg&cachebuster=1594236854&s=1d67a7f2852725c0a71ab5e91f5e5994af56ac99f216b450f9b8e80578e932f8,not available,"San Francisco, CA 94107Potrero HillServing San Francisco Area",https://www.yelp.com//biz/sava-san-francisco?osq=Cbd+Stores,40 reviews,not available
29,Purple Star MD,(415) 550-1515,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.purplestarmd.com&website_link_type=website&src_bizid=PyH7DhskVlQ7N26EV-zzOA&cachebuster=1594236860&s=dbbfc6ace2b4abe4e91610e7ca89cecab5c894f9e59be627897d5aee1bfb6dbf,[94110],"2520 Mission StSan Francisco, CA 94110b/t 21st St & 22nd StMissionServing San Francisco Area",https://www.yelp.com//biz/purple-star-md-san-francisco?osq=Cbd+Stores,348 reviews,4.5 star rating
30,Seaweed Holistics,Get Directions,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fseaweedholistics.com&website_link_type=website&src_bizid=EmAUFg9-HqEMXe5suyFTyA&cachebuster=1594236866&s=c567ed81f08d987b93dfc268f614b9edc880461bd8235354d07883f4a0701667,[2],"450 Dondee StSte 2Pacifica, CA 94044",https://www.yelp.com//biz/seaweed-holistics-pacifica?osq=Cbd+Stores,17 reviews,not available
31,Rainbow Grocery,(415) 863-0620,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.rainbow.coop&website_link_type=website&src_bizid=5NvXIkNdCCqUb235WVfMJg&cachebuster=1594236871&s=b1f657516bd3afe49d0a6f74933be9420e9d28f56fd3a1f1594ec20fe643a99e,[94103],"1745 Folsom StSan Francisco, CA 94103b/t Erie St & United States Highway 101Mission",https://www.yelp.com//biz/rainbow-grocery-san-francisco-2?osq=Cbd+Stores,1623 reviews,not available
32,not available,not available,not available,not available,not available,https://www.yelp.com//adredir?ad_business_id=YISILql5HccHgqUr3FgYzg&campaign_id=OFt870P_bi6jNtIioortFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffairhempfx-fairfax&request_id=21ca6da6b7e6f320&signature=8a19516a525518cbed485db1719279160cc52ec83a9a74076e908b5b1d25ee6b&slot=0,not available,not available
33,Pipe Dreams,Get Directions,not available,[94117],"1376 Haight StSan Francisco, CA 94117b/t Masonic Ave & Central AveThe Haight",https://www.yelp.com//biz/pipe-dreams-san-francisco?osq=Cbd+Stores,60 reviews,4.5 star rating
34,The Apothecarium - Soma,(415) 741-0741,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fapothecarium.com%2Fsoma&website_link_type=website&src_bizid=SD8h4mvyVdPC8E-uX09r9g&cachebuster=1594236882&s=18c3157262347b8b075673a4d327d964a3292464e9b31d112dbe4a8b3ff0a3e1,[94105],"527 Howard StSan Francisco, CA 94105b/t James Lick Fwy & 1st StFinancial District, SoMaServing San Francisco Area",https://www.yelp.com//biz/the-apothecarium-soma-san-francisco-2?osq=Cbd+Stores,38 reviews,not available
35,Discount Cigarettes,Get Directions,not available,[94108],"626 Kearny StSan Francisco, CA 94108b/t Sacramento St & Commercial StFinancial District",https://www.yelp.com//biz/discount-cigarettes-san-francisco?osq=Cbd+Stores,12 reviews,not available
36,Green Door,(415) 541-9590,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.greendoorsf.com&website_link_type=website&src_bizid=VO8TVz-5gVAuLLz0aHOUIg&cachebuster=1594236892&s=4c54eb92edf29596a7a32752bf42e7d54b5b485e670a7ce0d019824692e4e7b3,[94103],"843 Howard StSan Francisco, CA 94103b/t Holland Ct & 5th StSoMaServing San Francisco Area",https://www.yelp.com//biz/green-door-san-francisco?osq=Cbd+Stores,337 reviews,not available
37,Sparc,(415) 252-7727,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.sparc.co&website_link_type=website&src_bizid=YzECEQjqrRiAHOJ_wpcoYg&cachebuster=1594236898&s=599c03dbde208b7531e6a4ff0c7bcbbbaa238c3b35f6695e612bb331f7e4540c,[94103],"1256 Mission StSan Francisco, CA 94103b/t 8th St & Laskie StSoMa",https://www.yelp.com//biz/sparc-san-francisco-3?osq=Cbd+Stores,300 reviews,not available
38,Hempire,Get Directions,not available,[94102],"291 Ellis StSan Francisco, CA 94102b/t Taylor St & Mason StUnion Square, Tenderloin",https://www.yelp.com//biz/hempire-san-francisco?osq=Cbd+Stores,2 reviews,not available
39,The Scarlet Sage Herb Co.,(415) 821-0997,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.scarletsage.com&website_link_type=website&src_bizid=2hDk74wB-l38sESqQSlmpg&cachebuster=1594236907&s=66ad57464161b192c98b30e600b4e5359752fb3142fe19eaea061969ba3cc76d,[94110],"1193 Valencia StSan Francisco, CA 94110b/t 22nd St & 23rd StMission",https://www.yelp.com//biz/the-scarlet-sage-herb-co-san-francisco?osq=Cbd+Stores,250 reviews,4.5 star rating
40,Sparc,(415) 805-1085,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fsparcsf.org&website_link_type=website&src_bizid=lhl640O5HcXYTyXo1rJgvA&cachebuster=1594236913&s=b9a3f564525893c07b3e1a6be35be96aed67f83242e0c435ac0c9650d8055594,[94117],"473 Haight StSan Francisco, CA 94117b/t Webster St & Fillmore StLower Haight, Hayes ValleyServing San Francisco Area",https://www.yelp.com//biz/sparc-san-francisco-7?osq=Cbd+Stores,26 reviews,not available
41,not available,not available,not available,not available,not available,https://www.yelp.com//biz/california-tobacco-center-san-francisco?osq=Cbd+Stores,not available,not available
42,Flower to the People,(628) 444-3441,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fwww.flowertothepeoplesf.com&website_link_type=website&src_bizid=7wkJyF794MdgJokw4NYitw&cachebuster=1594236918&s=364495e322e4d93fec3cb9b6498e86da3e0ef658e369f747243fd5cdd6fab368,[94105],"70 2nd StSan Francisco, CA 94105b/t Jessie St & Mission StFinancial District, SoMa",https://www.yelp.com//biz/flower-to-the-people-san-francisco?osq=Cbd+Stores,51 reviews,not available
43,not available,not available,not available,not available,not available,https://www.yelp.com//adredir?ad_business_id=YISILql5HccHgqUr3FgYzg&campaign_id=OFt870P_bi6jNtIioortFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffairhempfx-fairfax&request_id=114b73c2dbe05f52&signature=eede70e2586e5c99f373022c7f1ceeb2502df6e4ebaa7a7264fe90e676f7d2d5&slot=0,not available,not available
44,Lytt,(650) 735-9943,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fits-lytt.com&website_link_type=website&src_bizid=v6MntsaIYpfuVCc9PyCmeQ&cachebuster=1594236923&s=a4137391fd030b960952ca44b1f60d578a4b0b8379fee7e4f905066558daa507,[94044],"2110 Palmetto AvePacifica, CA 94044Serving Pacifica Area",https://www.yelp.com//biz/lytt-pacifica-2?osq=Cbd+Stores,41 reviews,4.5 star rating
45,Smoke & Gift Shop,Get Directions,not available,[94109],"1216 Polk StSan Francisco, CA 94109b/t Fern St & Sutter StLower Nob Hill",https://www.yelp.com//biz/smoke-and-gift-shop-san-francisco?osq=Cbd+Stores,21 reviews,not available
46,WeedHub Cannabis Delivery,(415) 787-3688,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fweedhub.delivery&website_link_type=website&src_bizid=JWNcSfAF91sj-hLV0L2yAA&cachebuster=1594236935&s=9df5e1ebc6bc7d14705fe33d7b9a94fdf9aded328ad522da59bb4f69eb59076b,[94124],"1510 Wallace AveSan Francisco, CA 94124b/t Keith St & Jennings StOuter Mission, Mission TerraceServing San Francisco Area",https://www.yelp.com//biz/weedhub-cannabis-delivery-san-francisco-5?osq=Cbd+Stores,12 reviews,not available
